registration_number,numeric_id,product_name,manufacturer,material_category,product_category,declared_unit,gwp_a1a3,gwp_unit,gwp_a1a3_indicator,gwp_fossil_a1a3,gwp_biogenic_a1a3,gwp_total_a1a3,life_cycle_stages,lcia_indicator_count,status,is_valid,year_published,publication_date,version_date,valid_until,pcr,geographical_scope,country_of_origin,lca_practitioner,epd_pdf_url,document_count,epd_url,data_hub_dataset
EPD-IES-0031470:004,31470,"TMT Bars, Bhilai Steel Plant- Steel Authority of India Limited (SAIL)",Steel Authority of India Limited,Steel & Metal,Construction products,One Metric Tonne (1000 Kg),2363.0,kg CO2 eq.,Global Warming Potential (GWP-GHG),2362.0,0.0,2363.0,"A1-A3, A4, C1, C2, C3, C4, D",20,Registered,True,2026,2026-06-08,2026-06-02,2031-06-01,2019:14 Construction products (EN 15804+A2) (version 2.0.1) 2.0.1,Global,India,Bijan Mishra,https://api.environdec.com/api/v1/EPDLibrary/Files/EPDs/f2e6b190-b18f-40a8-66ae-08dea0f60497/Documents,2,https://www.environdec.com/library/epd31470,True
EPD-IES-0030960:004,30960,Building,ITC Limited,Other,Construction products,"1 m² of gross floor area (GFA) of the building, evaluated over the defined reference service life of 60 years.",408.0,kg CO2 eq.,Global Warming Potential (GWP-GHG),429.0,-21.0,408.0,"A1-A3, A4, A5, B1, B2, B3, B4, B5, B6, B7, C1, C2, C3, C4, D",20,Registered,True,2026,2026-06-03,2026-06-01,2031-04-15,2019:14 Construction products (EN 15804+A2) (version 2.0.1) 2.0.1,India,India,info@greenexenvironmental.com,https://api.environdec.com/api/v1/EPDLibrary/Files/EPDs/fff5d298-9338-4a44-1a93-08de8e3f04d9/Documents,1,https://www.environdec.com/library/epd30960,True
EPD-IES-0031770:002,31770,TAP® Acoustics Panel,Times Fibrefill Pvt Ltd,Insulation & Acoustic,Construction products,1 m2 of TAP® Acoustic Panel with RSL of 50 years and a declared acoustic performance class D.,5.54,kg CO2 eq.,Global Warming Potential (GWP-GHG),5.53,0.006658428569,5.542217287484,"A1-A3, A4, A5, B1, B2, B3, B4, B5, B6, B7, C1, C2, C3, C4, D",20,Registered,True,2026,2026-06-03,2026-05-26,2031-05-25,2019:14 Construction products (EN 15804+A2) (version 2.0.1) 2.0.1,India,India,Siddharth Bhagwat,https://api.environdec.com/api/v1/EPDLibrary/Files/EPDs/4fcd5bbb-7be6-4025-ab0a-08deacce16c7/Documents,1,https://www.environdec.com/library/epd31770,True
EPD-IES-0032037:001,32037,SGG Mirror on Planilux 4 mm,Saint-Gobain India Private Limited,Glass & Glazing,Construction products,"This Environmental Product Declaration (EPD®) describes the environmental impacts of 1 m² of Mirror on Planilux® 4 mm with a visible light reflection of 89%, for an expected average service life of 30 years.",13.846,kg CO2 eq.,Global Warming Potential (GWP-GHG),13.94,-0.23,13.72,"A1-A3, A4, A5, B1, B2, B3, B4, B5, B6, B7, C1, C2, C3, C4, D",20,Registered,True,2026,2026-05-26,2026-05-20,2031-05-19,2019:14 Construction products (EN 15804+A2) (version 2.0.1) 2.0.1,India,India,Pujan Parikh,https://api.environdec.com/api/v1/EPDLibrary/Files/EPDs/1c390084-15f6-4c46-881f-08deb647bf22/Documents,1,https://www.environdec.com/library/epd32037,True
EPD-IES-0032055:001,32055,SGG Mirror on Planilux® 5 mm,Saint-Gobain India Private Limited,Glass & Glazing,Construction products,"This Environmental Product Declaration (EPD®) describes the environmental impacts of 1 m² of Mirror on Planilux® 5 mm with a visible light reflection of 88.5%, for an expected average service life of 30 years.",17.1592,kg CO2 eq.,Global Warming Potential (GWP-GHG),17.1585,-0.2025,16.9592,"A1-A3, A4, A5, B1, B2, B3, B4, B5, B6, B7, C1, C2, C3, C4, D",20,Registered,True,2026,2026-05-26,2026-05-20,2031-05-19,2019:14 Construction products (EN 15804+A2) (version 2.0.1) 2.0.1,India,India,Pujan Parikh,https://api.environdec.com/api/v1/EPDLibrary/Files/EPDs/e81954de-8410-447f-f21c-08deb66d3d6a/Documents,1,https://www.environdec.com/library/epd32055,True
EPD-IES-0032059:001,32059,SGG Mirror on Planilux® 6 mm,Saint-Gobain India Private Limited,Glass & Glazing,Construction products,"This Environmental Product Declaration (EPD®) describes the environmental impacts of 1 m² of Mirror on Planilux® 6 mm with a visible light reflection of 88%, for an expected average service life of 30 years.",19.9446,kg CO2 eq.,Global Warming Potential (GWP-GHG),19.9437,-0.3464,19.6446,"A1-A3, A4, A5, B1, B2, B3, B4, B5, B6, B7, C1, C2, C3, C4, D",20,Registered,True,2026,2026-05-26,2026-05-20,2031-05-19,2019:14 Construction products (EN 15804+A2) (version 2.0.1) 2.0.1,India,India,Pujan Parikh,https://api.environdec.com/api/v1/EPDLibrary/Files/EPDs/ce240e2e-9fe8-42a9-5dd7-08deb678ded6/Documents,1,https://www.environdec.com/library/epd32059,True
EPD-IES-0022355:003,22355,Windor Mono Modular Single Glass Partition System ,Windor India Pvt Limited,Glass & Glazing,Construction products,1 m2,52.3,kg CO2 eq.,Global Warming Potential (GWP-GHG),52.0,-0.556,51.5,"A1-A3, A4, A5, C1, C2, C3, C4, D",20,Registered,True,2026,2026-05-29,2026-05-19,2031-05-18,2019:14 Construction products (EN 15804+A2) (version 2.0.1) 2.0.1,Global,India,Sujata Patil,https://api.environdec.com/api/v1/EPDLibrary/Files/EPDs/b6de476f-5429-4f25-1817-08dd8159a80b/Documents,1,https://www.environdec.com/library/epd22355,True
EPD-IES-0022356:002,22356,Windor Duplus Modular Double Glass Partition System,Windor India Pvt Limited,Glass & Glazing,Construction products,1 m2,85.5,kg CO2 eq.,Global Warming Potential (GWP-GHG),85.1,-0.556,84.6,"A1-A3, A4, A5, C1, C2, C3, C4, D",20,Registered,True,2026,2026-05-29,2026-05-19,2031-05-18,2019:14 Construction products (EN 15804+A2) (version 2.0.1) 2.0.1,Global,India,Sujata Patil,https://api.environdec.com/api/v1/EPDLibrary/Files/EPDs/1e28aa05-b6e2-42ff-1818-08dd8159a80b/Documents,1,https://www.environdec.com/library/epd22356,True
EPD-IES-0032024:001,32024,Windor Modular Single Leaf Single Glazed Style Door System,Windor India Pvt Limited,Furniture & Fittings,Construction products,33.18 m2,92.3,kg CO2 eq.,Global Warming Potential (GWP-GHG),91.9,-0.498,91.4,"A1-A3, A4, A5, C1, C2, C3, C4, D",20,Registered,True,2026,2026-05-29,2026-05-19,2031-05-18,2019:14 Construction products (EN 15804+A2) (version 2.0.1) 2.0.1,Global,India,Sujata Patil,https://api.environdec.com/api/v1/EPDLibrary/Files/EPDs/256265a6-b6fc-4515-3ca6-08deb59b56c0/Documents,1,https://www.environdec.com/library/epd32024,True
EPD-IES-0032026:001,32026,Windor Modular Single Leaf Double Glazed Style Door System,Windor India Pvt Limited,Furniture & Fittings,Construction products,1 m2,111.0,kg CO2 eq.,Global Warming Potential (GWP-GHG),110.0,-0.498,110.0,"A1-A3, A4, A5, C1, C2, C3, C4, D",20,Registered,True,2026,2026-05-29,2026-05-19,2031-05-18,2019:14 Construction products (EN 15804+A2) (version 2.0.1) 2.0.1,Global,India,Sujata Patil,https://api.environdec.com/api/v1/EPDLibrary/Files/EPDs/9af789bd-8c81-4629-3ca8-08deb59b56c0/Documents,1,https://www.environdec.com/library/epd32026,True
